match_id,snapshot_ts,home_odds,draw_odds,away_odds,over25_odds,under25_odds,btts_yes_odds
wc2018_den_fra_gs,2018-06-26T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_nga_arg_gs,2018-06-26T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_aus_per_gs,2018-06-26T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_srb_bra_gs,2018-06-27T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_sui_crc_gs,2018-06-27T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_mex_swe_gs,2018-06-27T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_kor_ger_gs,2018-06-27T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_eng_bel_gs,2018-06-28T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_jpn_pol_gs,2018-06-28T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_sen_col_gs,2018-06-28T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_pan_tun_gs,2018-06-28T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2018_fra_arg_r16,2018-06-30T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_uru_por_r16,2018-06-30T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_esp_rus_r16,2018-07-01T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_cro_den_r16,2018-07-01T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_bel_jpn_r16,2018-07-02T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_bra_mex_r16,2018-07-02T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_swe_sui_r16,2018-07-03T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_col_eng_r16,2018-07-03T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2018_uru_fra_qf,2018-07-06T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2018_bra_bel_qf,2018-07-06T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2018_swe_eng_qf,2018-07-07T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2018_rus_cro_qf,2018-07-07T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2018_fra_bel_sf,2018-07-10T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2018_cro_eng_sf,2018-07-11T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2018_bel_eng_tp,2018-07-14T12:00:00+00:00,2.45,3.25,2.85,2.05,1.78,1.9
wc2018_fra_cro_final,2018-07-15T12:00:00+00:00,2.45,3.25,2.85,2.05,1.78,1.9
wc2022_qat_ecu_gs,2022-11-20T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_sen_ned_gs,2022-11-21T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_eng_irn_gs,2022-11-21T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_usa_wal_gs,2022-11-21T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_fra_aus_gs,2022-11-22T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_den_tun_gs,2022-11-22T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_mex_pol_gs,2022-11-22T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_arg_ksa_gs,2022-11-22T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_mar_cro_gs,2022-11-23T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_esp_crc_gs,2022-11-23T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_ger_jpn_gs,2022-11-23T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_bel_can_gs,2022-11-23T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_bra_srb_gs,2022-11-24T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_sui_cmr_gs,2022-11-24T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_por_gha_gs,2022-11-24T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_uru_kor_gs,2022-11-24T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_qat_sen_gs,2022-11-25T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_wal_irn_gs,2022-11-25T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_eng_usa_gs,2022-11-25T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_ned_ecu_gs,2022-11-25T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_pol_ksa_gs,2022-11-26T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_tun_aus_gs,2022-11-26T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_fra_den_gs,2022-11-26T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_arg_mex_gs,2022-11-26T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_bel_mar_gs,2022-11-27T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_cro_can_gs,2022-11-27T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_jpn_crc_gs,2022-11-27T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_esp_ger_gs,2022-11-27T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_por_uru_gs,2022-11-28T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_bra_sui_gs,2022-11-28T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_kor_gha_gs,2022-11-28T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_cmr_srb_gs,2022-11-28T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_irn_usa_gs,2022-11-29T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_eng_wal_gs,2022-11-29T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_ned_qat_gs,2022-11-29T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_ecu_sen_gs,2022-11-29T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_tun_fra_gs,2022-11-30T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_aus_den_gs,2022-11-30T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_ksa_mex_gs,2022-11-30T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_pol_arg_gs,2022-11-30T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_cro_bel_gs,2022-12-01T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_can_mar_gs,2022-12-01T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_crc_ger_gs,2022-12-01T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_jpn_esp_gs,2022-12-01T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_srb_sui_gs,2022-12-02T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_cmr_bra_gs,2022-12-02T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_gha_uru_gs,2022-12-02T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_kor_por_gs,2022-12-02T12:00:00+00:00,2.6,3.2,2.8,2.05,1.78,1.9
wc2022_arg_aus_r16,2022-12-03T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_ned_usa_r16,2022-12-03T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_fra_pol_r16,2022-12-04T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_eng_sen_r16,2022-12-04T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_jpn_cro_r16,2022-12-05T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_bra_kor_r16,2022-12-05T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_mar_esp_r16,2022-12-06T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_por_sui_r16,2022-12-06T12:00:00+00:00,2.4,3.2,3.0,2.05,1.78,1.9
wc2022_cro_bra_qf,2022-12-09T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2022_ned_arg_qf,2022-12-09T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2022_mar_por_qf,2022-12-10T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2022_eng_fra_qf,2022-12-10T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2022_arg_cro_sf,2022-12-13T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2022_fra_mar_sf,2022-12-14T12:00:00+00:00,2.5,3.15,2.9,2.05,1.78,1.9
wc2022_cro_mar_tp,2022-12-17T12:00:00+00:00,2.45,3.25,2.85,2.05,1.78,1.9
wc2022_arg_fra_final,2022-12-18T12:00:00+00:00,2.45,3.25,2.85,2.05,1.78,1.9
