team_match_stat_id,match_id,team_id,match_date,possession,shots,shots_on_target,xg,passes_completed,corners,fouls,yellow_cards,red_cards,cards
tms_00033,wc2018_rus_egy_gs,team_rus,2018-06-19,50.0,11,7,2.76,340,2,8,0,0,0
tms_00034,wc2018_rus_egy_gs,team_egy,2018-06-19,48.1,6,4,1.51,359,3,17,4,0,4
tms_00035,wc2018_irn_esp_gs,team_irn,2018-06-20,49.5,3,2,0.85,455,7,13,3,0,3
tms_00036,wc2018_irn_esp_gs,team_esp,2018-06-20,49.0,9,4,1.12,410,5,8,2,0,2
tms_00037,wc2018_uru_ksa_gs,team_uru,2018-06-20,52.7,8,3,1.59,367,5,15,3,0,3
tms_00038,wc2018_uru_ksa_gs,team_ksa,2018-06-20,53.8,6,2,0.25,302,6,10,2,0,2
tms_00039,wc2018_por_mar_gs,team_por,2018-06-20,55.7,8,3,1.29,337,8,15,1,0,1
tms_00040,wc2018_por_mar_gs,team_mar,2018-06-20,44.3,5,1,0.57,337,4,15,1,0,1
tms_00041,wc2018_den_aus_gs,team_den,2018-06-21,47.6,5,3,1.08,316,5,14,0,0,0
tms_00042,wc2018_den_aus_gs,team_aus,2018-06-21,44.6,5,3,1.26,334,4,12,2,0,2
tms_00043,wc2018_fra_per_gs,team_fra,2018-06-21,55.9,10,5,1.61,459,6,17,3,0,3
tms_00044,wc2018_fra_per_gs,team_per,2018-06-21,48.0,4,3,0.25,300,5,8,0,0,0
tms_00045,wc2018_arg_cro_gs,team_arg,2018-06-21,51.5,5,1,0.25,295,7,13,4,0,4
tms_00046,wc2018_arg_cro_gs,team_cro,2018-06-21,47.7,16,9,2.69,423,3,11,3,0,3
tms_00047,wc2018_nga_isl_gs,team_nga,2018-06-22,53.3,11,5,1.47,373,2,11,1,0,1
tms_00048,wc2018_nga_isl_gs,team_isl,2018-06-22,48.2,3,1,0.25,298,2,16,2,0,2
tms_00049,wc2018_bra_crc_gs,team_bra,2018-06-22,53.7,9,6,1.81,317,3,15,1,0,1
tms_00050,wc2018_bra_crc_gs,team_crc,2018-06-22,49.8,4,3,0.62,342,3,10,2,0,2
tms_00051,wc2018_srb_sui_gs,team_srb,2018-06-22,52.2,9,4,1.24,422,4,10,2,0,2
tms_00052,wc2018_srb_sui_gs,team_sui,2018-06-22,50.4,10,7,1.7,396,7,14,0,0,0
tms_00053,wc2018_kor_mex_gs,team_kor,2018-06-23,46.7,8,3,1.29,427,7,15,3,0,3
tms_00054,wc2018_kor_mex_gs,team_mex,2018-06-23,46.8,10,7,1.76,312,5,10,0,0,0
tms_00055,wc2018_ger_swe_gs,team_ger,2018-06-23,50.3,11,5,1.77,403,3,11,3,0,3
tms_00056,wc2018_ger_swe_gs,team_swe,2018-06-23,55.2,7,5,0.8,288,6,16,0,0,0
tms_00057,wc2018_bel_tun_gs,team_bel,2018-06-23,53.2,19,13,3.62,372,7,10,0,0,0
tms_00058,wc2018_bel_tun_gs,team_tun,2018-06-23,51.3,13,7,2.21,447,7,15,4,0,4
tms_00059,wc2018_pol_col_gs,team_pol,2018-06-24,45.4,4,3,0.44,414,8,12,3,0,3
tms_00060,wc2018_pol_col_gs,team_col,2018-06-24,51.0,13,9,2.96,450,3,8,2,0,2
tms_00061,wc2018_jpn_sen_gs,team_jpn,2018-06-24,46.2,12,6,1.66,302,6,10,2,0,2
tms_00062,wc2018_jpn_sen_gs,team_sen,2018-06-24,52.3,9,6,1.81,317,7,15,1,0,1
tms_00063,wc2018_eng_pan_gs,team_eng,2018-06-24,52.2,24,14,5.14,362,4,10,2,0,2
tms_00064,wc2018_eng_pan_gs,team_pan,2018-06-24,52.1,8,3,1.41,439,6,17,4,0,4
tms_00065,wc2018_uru_rus_gs,team_uru,2018-06-25,49.5,12,8,2.41,395,8,13,3,0,3
tms_00066,wc2018_uru_rus_gs,team_rus,2018-06-25,48.3,7,3,0.47,417,2,15,2,0,2
tms_00067,wc2018_ksa_egy_gs,team_ksa,2018-06-25,52.6,10,7,1.7,306,5,14,2,0,2
tms_00068,wc2018_ksa_egy_gs,team_egy,2018-06-25,55.5,10,5,0.77,285,2,13,1,0,1
tms_00069,wc2018_irn_por_gs,team_irn,2018-06-25,45.7,10,5,0.89,297,7,15,1,0,1
tms_00070,wc2018_irn_por_gs,team_por,2018-06-25,47.8,9,4,1.54,362,4,10,2,0,2
tms_00071,wc2018_esp_mar_gs,team_esp,2018-06-25,51.9,9,6,2.23,359,8,17,3,0,3
tms_00072,wc2018_esp_mar_gs,team_mar,2018-06-25,53.5,9,6,1.69,305,5,13,1,0,1
tms_00073,wc2018_isl_cro_gs,team_isl,2018-06-26,49.2,9,4,1.24,332,3,10,0,0,0
tms_00074,wc2018_isl_cro_gs,team_cro,2018-06-26,54.1,9,6,1.63,299,2,17,3,0,3
tms_00075,wc2018_den_fra_gs,team_den,2018-06-26,46.7,5,1,0.57,427,5,15,3,0,3
tms_00076,wc2018_den_fra_gs,team_fra,2018-06-26,52.0,6,2,0.4,320,4,8,0,0,0
tms_00077,wc2018_nga_arg_gs,team_nga,2018-06-26,51.5,8,3,1.17,415,7,13,3,0,3
tms_00078,wc2018_nga_arg_gs,team_arg,2018-06-26,49.1,11,5,1.83,409,6,17,1,0,1
tms_00079,wc2018_aus_per_gs,team_aus,2018-06-26,52.4,3,1,0.25,304,7,12,0,0,0
tms_00080,wc2018_aus_per_gs,team_per,2018-06-26,46.9,9,6,2.05,431,8,9,3,0,3
tms_00081,wc2018_srb_bra_gs,team_srb,2018-06-27,54.9,3,2,0.25,389,3,17,1,0,1
tms_00082,wc2018_srb_bra_gs,team_bra,2018-06-27,50.3,11,5,2.01,337,6,15,1,0,1
tms_00083,wc2018_sui_crc_gs,team_sui,2018-06-27,48.9,9,6,2.23,449,8,17,1,0,1
tms_00084,wc2018_sui_crc_gs,team_crc,2018-06-27,45.0,10,7,1.94,330,4,8,2,0,2
tms_00085,wc2018_mex_swe_gs,team_mex,2018-06-27,52.1,5,1,0.51,421,8,9,2,0,2
tms_00086,wc2018_mex_swe_gs,team_swe,2018-06-27,54.1,12,8,2.35,299,5,17,3,0,3
tms_00087,wc2018_kor_ger_gs,team_kor,2018-06-27,53.2,10,7,1.76,312,3,10,0,0,0
tms_00088,wc2018_kor_ger_gs,team_ger,2018-06-27,48.5,5,1,0.75,355,2,13,3,0,3
tms_00089,wc2018_eng_bel_gs,team_eng,2018-06-28,52.5,3,2,0.55,425,8,13,1,0,1
tms_00090,wc2018_eng_bel_gs,team_bel,2018-06-28,49.6,9,4,0.76,284,2,12,0,0,0
tms_00091,wc2018_jpn_pol_gs,team_jpn,2018-06-28,46.1,5,1,0.51,421,4,9,1,0,1
tms_00092,wc2018_jpn_pol_gs,team_pol,2018-06-28,46.0,9,4,1.12,320,6,8,0,0,0
tms_00093,wc2018_sen_col_gs,team_sen,2018-06-28,47.4,6,2,0.25,374,2,12,2,0,2
tms_00094,wc2018_sen_col_gs,team_col,2018-06-28,49.4,5,3,0.78,286,2,14,2,0,2
tms_00095,wc2018_pan_tun_gs,team_pan,2018-06-28,45.8,5,3,0.9,298,4,16,2,0,2
tms_00096,wc2018_pan_tun_gs,team_tun,2018-06-28,53.0,8,5,1.74,310,8,8,2,0,2
tms_00097,wc2018_fra_arg_r16,team_fra,2018-06-30,52.4,14,9,3.12,304,2,12,1,0,1
tms_00098,wc2018_fra_arg_r16,team_arg,2018-06-30,51.1,12,8,2.65,329,2,17,2,0,2
tms_00099,wc2018_uru_por_r16,team_uru,2018-06-30,48.0,12,6,2.14,440,8,8,0,0,0
tms_00100,wc2018_uru_por_r16,team_por,2018-06-30,49.3,6,4,0.79,287,3,15,3,0,3
tms_00101,wc2018_esp_rus_r16,team_esp,2018-07-01,47.8,7,5,1.4,438,3,16,2,0,2
tms_00102,wc2018_esp_rus_r16,team_rus,2018-07-01,46.3,6,4,1.39,437,4,15,1,0,1
tms_00103,wc2018_cro_den_r16,team_cro,2018-07-01,48.6,9,4,1.48,446,8,14,2,1,3
tms_00104,wc2018_cro_den_r16,team_den,2018-07-01,45.6,7,5,0.86,384,7,12,0,0,0
tms_00105,wc2018_bel_jpn_r16,team_bel,2018-07-02,55.8,15,8,3.04,458,5,16,2,0,2
tms_00106,wc2018_bel_jpn_r16,team_jpn,2018-07-02,47.9,11,5,2.25,361,3,9,2,0,2
tms_00107,wc2018_bra_mex_r16,team_bra,2018-07-02,49.2,12,6,1.96,332,5,10,0,0,0
tms_00108,wc2018_bra_mex_r16,team_mex,2018-07-02,47.8,6,2,0.52,422,7,10,2,0,2
tms_00109,wc2018_swe_sui_r16,team_swe,2018-07-03,53.2,7,5,0.74,372,4,10,0,0,0
tms_00110,wc2018_swe_sui_r16,team_sui,2018-07-03,44.2,6,2,0.58,338,6,16,2,0,2
tms_00111,wc2018_col_eng_r16,team_col,2018-07-03,47.5,10,5,1.07,315,5,13,3,0,3
tms_00112,wc2018_col_eng_r16,team_eng,2018-07-03,56.0,5,3,1.32,340,2,8,0,0,0
tms_00113,wc2018_uru_fra_qf,team_uru,2018-07-06,46.3,7,3,0.25,303,2,11,3,0,3
tms_00114,wc2018_uru_fra_qf,team_fra,2018-07-06,45.5,11,5,2.19,445,7,13,1,0,1
tms_00115,wc2018_bra_bel_qf,team_bra,2018-07-06,48.5,8,3,1.47,445,6,13,1,0,1
tms_00116,wc2018_bra_bel_qf,team_bel,2018-07-06,51.2,8,5,1.92,328,5,16,0,0,0
tms_00117,wc2018_swe_eng_qf,team_swe,2018-07-07,46.9,7,3,0.89,369,2,17,1,0,1
tms_00118,wc2018_swe_eng_qf,team_eng,2018-07-07,50.0,8,5,1.74,400,7,8,0,0,0
tms_00119,wc2018_rus_cro_qf,team_rus,2018-07-07,53.1,9,6,1.45,371,5,9,3,0,3
tms_00120,wc2018_rus_cro_qf,team_cro,2018-07-07,54.8,8,5,1.56,292,3,10,0,0,0
tms_00121,wc2018_fra_bel_sf,team_fra,2018-07-10,45.8,5,3,0.9,298,8,16,2,0,2
tms_00122,wc2018_fra_bel_sf,team_bel,2018-07-10,55.9,3,2,0.31,401,7,9,1,0,1
tms_00123,wc2018_cro_eng_sf,team_cro,2018-07-11,52.7,11,5,2.31,367,4,15,3,0,3
tms_00124,wc2018_cro_eng_sf,team_eng,2018-07-11,52.6,9,4,1.06,314,5,12,2,0,2
tms_00125,wc2018_bel_eng_tp,team_bel,2018-07-14,44.8,10,7,1.82,408,8,16,0,0,0
tms_00126,wc2018_bel_eng_tp,team_eng,2018-07-14,53.7,7,3,0.83,363,7,11,3,0,3
tms_00127,wc2018_fra_cro_final,team_fra,2018-07-15,45.0,18,10,3.58,350,4,8,2,0,2
tms_00128,wc2018_fra_cro_final,team_cro,2018-07-15,46.9,9,6,1.45,371,7,9,4,0,4
tms_00129,wc2022_qat_ecu_gs,team_qat,2022-11-20,49.0,4,3,0.5,330,6,8,2,0,2
tms_00130,wc2022_qat_ecu_gs,team_ecu,2022-11-20,54.4,12,6,2.2,356,7,14,0,0,0
tms_00131,wc2022_sen_ned_gs,team_sen,2022-11-21,48.5,5,1,0.25,385,3,13,1,0,1
tms_00132,wc2022_sen_ned_gs,team_ned,2022-11-21,51.2,8,5,1.92,328,2,16,0,0,0
tms_00133,wc2022_eng_irn_gs,team_eng,2022-11-21,53.7,21,14,4.39,377,6,15,1,0,1
tms_00134,wc2022_eng_irn_gs,team_irn,2022-11-21,50.3,11,5,2.01,337,2,15,2,0,2
tms_00135,wc2022_usa_wal_gs,team_usa,2022-11-21,53.9,8,3,1.41,439,4,17,3,0,3
tms_00136,wc2022_usa_wal_gs,team_wal,2022-11-21,51.3,10,5,0.89,387,2,15,3,0,3
tms_00137,wc2022_fra_aus_gs,team_fra,2022-11-22,53.9,17,9,3.27,319,4,17,3,0,3
tms_00138,wc2022_fra_aus_gs,team_aus,2022-11-22,52.7,8,3,0.75,373,2,11,2,0,2
tms_00139,wc2022_den_tun_gs,team_den,2022-11-22,47.8,4,3,0.38,318,8,16,2,0,2
tms_00140,wc2022_den_tun_gs,team_tun,2022-11-22,47.2,6,2,0.88,368,4,16,0,0,0
tms_00141,wc2022_mex_pol_gs,team_mex,2022-11-22,50.5,7,3,0.25,285,4,13,1,0,1
tms_00142,wc2022_mex_pol_gs,team_pol,2022-11-22,56.0,3,1,0.25,280,3,8,0,0,0
tms_00143,wc2022_arg_ksa_gs,team_arg,2022-11-22,46.5,6,4,1.27,425,8,13,1,0,1
tms_00144,wc2022_arg_ksa_gs,team_ksa,2022-11-22,48.8,8,5,1.86,412,2,10,0,0,0
tms_00145,wc2022_mar_cro_gs,team_mar,2022-11-23,54.8,3,1,0.78,448,8,16,0,0,0
tms_00146,wc2022_mar_cro_gs,team_cro,2022-11-23,46.5,7,3,0.65,435,6,13,3,0,3
tms_00147,wc2022_esp_crc_gs,team_esp,2022-11-23,52.9,28,17,5.93,369,5,17,1,0,1
tms_00148,wc2022_esp_crc_gs,team_crc,2022-11-23,46.0,6,2,0.4,320,7,8,1,0,1
tms_00149,wc2022_ger_jpn_gs,team_ger,2022-11-23,45.8,5,3,0.9,298,5,16,2,0,2
tms_00150,wc2022_ger_jpn_gs,team_jpn,2022-11-23,48.5,11,5,2.19,355,4,13,3,0,3
tms_00151,wc2022_bel_can_gs,team_bel,2022-11-23,51.2,5,3,0.84,292,7,10,0,0,0
tms_00152,wc2022_bel_can_gs,team_can,2022-11-23,48.0,4,3,0.25,300,6,8,0,0,0
tms_00153,wc2022_bra_srb_gs,team_bra,2022-11-24,55.5,9,6,2.29,455,5,13,3,0,3
tms_00154,wc2022_bra_srb_gs,team_srb,2022-11-24,53.9,5,1,0.25,301,4,9,1,0,1
tms_00155,wc2022_sui_cmr_gs,team_sui,2022-11-24,49.3,10,5,1.25,333,4,11,1,0,1
tms_00156,wc2022_sui_cmr_gs,team_cmr,2022-11-24,47.7,7,3,0.83,363,5,11,3,0,3
tms_00157,wc2022_por_gha_gs,team_por,2022-11-24,54.5,14,7,2.61,325,5,13,1,0,1
tms_00158,wc2022_por_gha_gs,team_gha,2022-11-24,44.4,10,7,2.3,456,5,14,1,0,1
tms_00159,wc2022_uru_kor_gs,team_uru,2022-11-24,54.8,3,1,0.48,328,6,16,0,0,0
tms_00160,wc2022_uru_kor_gs,team_kor,2022-11-24,54.4,6,2,0.76,356,5,14,0,0,0
tms_00161,wc2022_qat_sen_gs,team_qat,2022-11-25,55.4,5,3,1.56,454,8,12,3,0,3
tms_00162,wc2022_qat_sen_gs,team_sen,2022-11-25,46.5,16,9,2.21,375,3,13,3,0,3
tms_00163,wc2022_wal_irn_gs,team_wal,2022-11-25,52.8,6,2,0.28,308,6,16,0,0,0
tms_00164,wc2022_wal_irn_gs,team_irn,2022-11-25,55.9,9,6,1.45,281,2,9,1,0,1
tms_00165,wc2022_eng_usa_gs,team_eng,2022-11-25,49.9,7,3,0.59,339,3,17,3,0,3
tms_00166,wc2022_eng_usa_gs,team_usa,2022-11-25,49.1,5,1,0.25,289,5,17,1,0,1
tms_00167,wc2022_ned_ecu_gs,team_ned,2022-11-25,54.5,8,3,1.47,445,7,13,1,0,1
tms_00168,wc2022_ned_ecu_gs,team_ecu,2022-11-25,49.7,8,3,1.05,403,6,11,3,0,3
tms_00169,wc2022_pol_ksa_gs,team_pol,2022-11-26,45.0,12,6,2.14,350,7,8,2,0,2
tms_00170,wc2022_pol_ksa_gs,team_ksa,2022-11-26,49.7,5,1,0.63,343,5,11,3,0,3
tms_00171,wc2022_tun_aus_gs,team_tun,2022-11-26,53.7,3,2,0.25,377,6,15,1,0,1
tms_00172,wc2022_tun_aus_gs,team_aus,2022-11-26,49.2,7,5,1.4,348,6,16,0,0,0
tms_00173,wc2022_fra_den_gs,team_fra,2022-11-26,50.0,8,5,1.74,400,5,8,0,0,0
tms_00174,wc2022_fra_den_gs,team_den,2022-11-26,55.3,6,4,1.39,347,6,15,3,0,3
tms_00175,wc2022_arg_mex_gs,team_arg,2022-11-26,48.3,9,6,1.57,383,5,11,3,0,3
tms_00176,wc2022_arg_mex_gs,team_mex,2022-11-26,45.5,5,1,0.75,445,5,13,1,0,1
tms_00177,wc2022_bel_mar_gs,team_bel,2022-11-27,45.6,6,2,0.76,356,2,14,0,0,0
tms_00178,wc2022_bel_mar_gs,team_mar,2022-11-27,55.9,9,6,2.05,341,2,9,1,0,1
tms_00179,wc2022_cro_can_gs,team_cro,2022-11-27,47.7,15,10,2.95,377,6,15,1,0,1
tms_00180,wc2022_cro_can_gs,team_can,2022-11-27,49.6,9,4,1.06,404,7,12,1,0,1
tms_00181,wc2022_jpn_crc_gs,team_jpn,2022-11-27,55.8,6,2,0.28,398,5,16,2,0,2
tms_00182,wc2022_jpn_crc_gs,team_crc,2022-11-27,53.6,5,3,1.56,364,5,12,0,0,0
tms_00183,wc2022_esp_ger_gs,team_esp,2022-11-27,50.5,10,5,1.37,345,8,13,1,0,1
tms_00184,wc2022_esp_ger_gs,team_ger,2022-11-27,53.5,6,4,1.27,425,3,13,1,0,1
tms_00185,wc2022_por_uru_gs,team_por,2022-11-28,52.2,12,6,1.96,422,2,10,2,0,2
tms_00186,wc2022_por_uru_gs,team_uru,2022-11-28,52.2,4,3,0.38,318,3,16,2,0,2
tms_00187,wc2022_bra_sui_gs,team_bra,2022-11-28,52.0,7,5,0.92,300,5,8,0,0,0
tms_00188,wc2022_bra_sui_gs,team_sui,2022-11-28,55.7,5,1,0.33,403,2,11,3,0,3
tms_00189,wc2022_kor_gha_gs,team_kor,2022-11-28,50.7,9,6,2.11,347,4,15,4,0,4
tms_00190,wc2022_kor_gha_gs,team_gha,2022-11-28,49.0,15,8,2.56,410,3,8,2,0,2
tms_00191,wc2022_cmr_srb_gs,team_cmr,2022-11-28,45.6,15,8,2.62,416,8,14,1,0,1
tms_00192,wc2022_cmr_srb_gs,team_srb,2022-11-28,45.3,16,9,2.63,327,8,15,4,0,4
tms_00193,wc2022_irn_usa_gs,team_irn,2022-11-29,45.9,3,2,0.25,299,5,17,3,0,3
tms_00194,wc2022_irn_usa_gs,team_usa,2022-11-29,52.3,6,4,0.79,377,6,15,1,0,1
tms_00195,wc2022_eng_wal_gs,team_eng,2022-11-29,49.7,14,7,3.03,457,8,15,1,0,1
tms_00196,wc2022_eng_wal_gs,team_wal,2022-11-29,50.5,3,2,0.25,395,5,13,4,0,4
tms_00197,wc2022_ned_qat_gs,team_ned,2022-11-29,53.5,13,7,1.79,315,2,13,3,0,3
tms_00198,wc2022_ned_qat_gs,team_qat,2022-11-29,53.6,3,1,0.25,304,5,12,0,0,0
tms_00199,wc2022_ecu_sen_gs,team_ecu,2022-11-29,46.4,5,3,1.56,364,4,12,0,0,0
tms_00200,wc2022_ecu_sen_gs,team_sen,2022-11-29,45.6,10,7,1.88,324,7,12,0,0,0
tms_00201,wc2022_tun_fra_gs,team_tun,2022-11-30,51.2,5,3,1.14,412,2,10,0,0,0
tms_00202,wc2022_tun_fra_gs,team_fra,2022-11-30,47.6,3,1,0.25,304,4,12,0,0,0
tms_00203,wc2022_aus_den_gs,team_aus,2022-11-30,46.0,7,5,1.52,360,4,8,0,0,0
tms_00204,wc2022_aus_den_gs,team_den,2022-11-30,55.0,6,2,0.7,350,7,8,2,0,2
tms_00205,wc2022_ksa_mex_gs,team_ksa,2022-11-30,45.4,7,5,1.16,414,2,12,2,0,2
tms_00206,wc2022_ksa_mex_gs,team_mex,2022-11-30,47.0,8,5,2.04,430,8,8,2,0,2
tms_00207,wc2022_pol_arg_gs,team_pol,2022-11-30,46.8,6,2,0.28,308,7,16,0,0,0
tms_00208,wc2022_pol_arg_gs,team_arg,2022-11-30,48.6,10,7,2.18,354,2,12,2,0,2
tms_00209,wc2022_cro_bel_gs,team_cro,2022-12-01,44.8,4,3,0.68,348,4,16,0,0,0
tms_00210,wc2022_cro_bel_gs,team_bel,2022-12-01,54.7,3,2,0.25,293,3,11,1,0,1
tms_00211,wc2022_can_mar_gs,team_can,2022-12-01,50.0,5,3,1.32,340,3,8,0,0,0
tms_00212,wc2022_can_mar_gs,team_mar,2022-12-01,45.0,10,7,1.64,390,3,8,2,0,2
tms_00213,wc2022_crc_ger_gs,team_crc,2022-12-01,46.3,13,7,1.97,423,6,11,4,0,4
tms_00214,wc2022_crc_ger_gs,team_ger,2022-12-01,46.6,18,10,3.22,314,6,12,2,0,2
tms_00215,wc2022_jpn_esp_gs,team_jpn,2022-12-01,54.8,8,5,1.92,328,7,16,0,0,0
tms_00216,wc2022_jpn_esp_gs,team_esp,2022-12-01,53.3,8,3,1.59,367,6,15,3,0,3
tms_00217,wc2022_srb_sui_gs,team_srb,2022-12-02,55.3,13,7,2.27,453,5,11,2,0,2
tms_00218,wc2022_srb_sui_gs,team_sui,2022-12-02,45.9,16,9,2.87,441,2,9,1,0,1
tms_00219,wc2022_cmr_bra_gs,team_cmr,2022-12-02,54.7,10,5,0.89,387,6,15,3,0,3
tms_00220,wc2022_cmr_bra_gs,team_bra,2022-12-02,51.6,4,3,0.74,444,5,12,0,0,0
tms_00221,wc2022_gha_uru_gs,team_gha,2022-12-02,55.4,3,1,0.84,454,7,12,2,0,2
tms_00222,wc2022_gha_uru_gs,team_uru,2022-12-02,45.4,12,6,2.2,446,6,14,2,0,2
tms_00223,wc2022_kor_por_gs,team_kor,2022-12-02,53.9,11,5,2.13,439,5,17,3,0,3
tms_00224,wc2022_kor_por_gs,team_por,2022-12-02,51.0,7,5,0.92,390,4,8,2,0,2
tms_00225,wc2022_arg_aus_r16,team_arg,2022-12-03,51.0,12,6,2.14,350,3,8,2,0,2
tms_00226,wc2022_arg_aus_r16,team_aus,2022-12-03,50.5,6,4,1.27,335,8,13,3,0,3
tms_00227,wc2022_ned_usa_r16,team_ned,2022-12-03,45.9,12,8,2.95,359,6,17,3,0,3
tms_00228,wc2022_ned_usa_r16,team_usa,2022-12-03,44.5,6,4,0.97,395,3,13,4,0,4
tms_00229,wc2022_fra_pol_r16,team_fra,2022-12-04,54.1,16,9,2.87,441,8,9,1,0,1
tms_00230,wc2022_fra_pol_r16,team_pol,2022-12-04,53.9,8,3,1.23,421,2,9,2,0,2
tms_00231,wc2022_eng_sen_r16,team_eng,2022-12-04,45.1,16,9,2.57,411,6,9,3,0,3
tms_00232,wc2022_eng_sen_r16,team_sen,2022-12-04,52.4,3,1,0.66,436,4,14,1,0,1
tms_00233,wc2022_jpn_cro_r16,team_jpn,2022-12-05,44.6,5,3,1.38,346,7,14,2,0,2
tms_00234,wc2022_jpn_cro_r16,team_cro,2022-12-05,51.1,6,4,0.91,389,8,17,1,0,1
tms_00235,wc2022_bra_kor_r16,team_bra,2022-12-05,44.4,18,10,3.52,344,5,12,0,0,0
tms_00236,wc2022_bra_kor_r16,team_kor,2022-12-05,54.9,10,5,0.83,291,8,9,4,0,4
tms_00237,wc2022_mar_esp_r16,team_mar,2022-12-06,55.2,6,2,0.52,332,5,10,0,0,0
tms_00238,wc2022_mar_esp_r16,team_esp,2022-12-06,54.7,3,2,0.43,413,8,11,1,0,1
tms_00239,wc2022_por_sui_r16,team_por,2022-12-06,44.8,22,15,4.4,288,7,16,0,0,0
tms_00240,wc2022_por_sui_r16,team_sui,2022-12-06,47.1,10,5,1.01,309,6,17,2,0,2
tms_00241,wc2022_cro_bra_qf,team_cro,2022-12-09,44.1,6,4,0.73,281,7,9,1,0,1
tms_00242,wc2022_cro_bra_qf,team_bra,2022-12-09,54.9,10,5,0.83,291,4,9,3,0,3
tms_00243,wc2022_ned_arg_qf,team_ned,2022-12-09,49.8,12,6,2.02,338,7,16,2,0,2
tms_00244,wc2022_ned_arg_qf,team_arg,2022-12-09,53.7,13,7,1.67,303,6,11,3,0,3
tms_00245,wc2022_mar_por_qf,team_mar,2022-12-10,44.1,6,4,1.03,401,4,9,1,0,1
tms_00246,wc2022_mar_por_qf,team_por,2022-12-10,51.7,3,2,0.43,323,7,11,3,0,3
tms_00247,wc2022_eng_fra_qf,team_eng,2022-12-10,47.9,8,3,1.11,319,3,17,3,0,3
tms_00248,wc2022_eng_fra_qf,team_fra,2022-12-10,48.4,12,6,2.2,356,2,14,0,0,0
